# Published group tables, 2026 Championship League (ranking) — Wikipedia rev 1364748219
# group|pos|player|P|W|D|L|FW|FL|FD|HB|Pts    (HB "-" = none published)
G1|1|David Grace|3|2|1|0|8|2|6|73|7
G1|2|Zhao Xintong|3|2|1|0|8|3|5|140|7
G1|3|Gao Yang|3|0|1|2|3|8|-5|95|1
G1|4|Simon Blackwell|3|0|1|2|2|8|-6|52|1
G2|1|Ian Burns|3|3|0|0|9|1|8|97|9
G2|2|Jamie O'Neill|3|2|0|1|6|4|2|70|6
G2|3|Steven Hallworth|3|1|0|2|4|7|-3|75|3
G2|4|Jeff Cundy|3|0|0|3|2|9|-7|39|0
G3|1|Dylan Emery|2|1|1|0|5|3|2|107|4
G3|2|Haydon Pinhey|2|0|2|0|4|4|0|55|2
G3|3|Michal Szubarczyk|2|0|1|1|3|5|-2|37|1
G3|4|Kyren Wilson|0|0|0|0|0|0|0|-|0
G4|1|Iulian Boiko|3|2|1|0|8|3|5|90|7
G4|2|Lan Yuhao|3|2|1|0|8|3|5|85|7
G4|3|Joshua Thomond|3|1|0|2|5|7|-2|47|3
G4|4|Ian Martin|3|0|0|3|1|9|-8|44|0
G5|1|Chris Wakelin|3|2|0|1|7|3|4|128|6
G5|2|Luke Pinches|3|2|0|1|6|5|1|40|6
G5|3|Yao Pengcheng|3|1|0|2|4|6|-2|82|3
G5|4|Brian Ochoiski|3|1|0|2|4|7|-3|48|3
G6|1|Marco Fu|3|2|1|0|8|3|5|106|7
G6|2|Si Jiahui|3|1|2|0|7|4|3|147|5
G6|3|Sean Maddocks|3|1|1|1|6|6|0|96|4
G6|4|Xu Yichen|3|0|0|3|1|9|-8|40|0
G7|1|Jack Lisowski|3|3|0|0|9|1|8|87|9
G7|2|Liam Highfield|3|2|0|1|7|5|2|98|6
G7|3|Zhao Hanyang|3|1|0|2|4|6|-2|50|3
G7|4|Jack Bradford|3|0|0|3|1|9|-8|36|0
G8|1|Dean Young|3|2|1|0|8|3|5|107|7
G8|2|Thepchaiya Un-Nooh|3|1|2|0|7|5|2|86|5
G8|3|Louis Heathcote|3|1|0|2|5|6|-1|111|3
G8|4|Reanne Evans|3|0|1|2|2|8|-6|55|1
G9|1|Elliot Slessor|3|2|1|0|8|3|5|130|7
G9|2|Liu Wenwei|3|1|2|0|7|4|3|65|5
G9|3|Liam Pullen|3|1|1|1|5|6|-1|86|4
G9|4|Robert Milkins|3|0|0|3|2|9|-7|77|0
G10|1|Zhang Anda|3|3|0|0|9|1|8|115|9
G10|2|Jiang Jun|3|2|0|1|7|5|2|77|6
G10|3|Daniel Womersley|3|0|1|2|3|8|-5|96|1
G10|4|Ross Muir|3|0|1|2|3|8|-5|85|1
G11|1|Mark Joyce|3|2|0|1|7|4|3|77|6
G11|2|Mateusz Baranowski|3|1|2|0|7|5|2|109|5
G11|3|Stuart Bingham|3|0|2|1|5|7|-2|62|2
G11|4|Jordan Brown|3|0|2|1|4|7|-3|104|2
G12|1|Ali Carter|3|2|1|0|8|3|5|97|7
G12|2|Jamie Jones|3|2|1|0|8|4|4|107|7
G12|3|Patrick Whelan|3|1|0|2|4|6|-2|68|3
G12|4|Leone Crowley|3|0|0|3|2|9|-7|57|0
G13|1|Zhou Yuelong|3|2|1|0|8|4|4|97|7
G13|2|Liam Graham|3|1|2|0|7|5|2|46|5
G13|3|Allan Taylor|3|1|1|1|6|5|1|71|4
G13|4|Ben Mertens|3|0|0|3|2|9|-7|50|0
G14|1|Gary Wilson|3|2|1|0|8|3|5|75|7
G14|2|Alexander Ursenbacher|3|1|1|1|5|6|-1|58|4
G14|3|Lyu Haotian|3|0|2|1|5|7|-2|115|2
G14|4|Duane Jones|3|0|2|1|5|7|-2|74|2
G15|1|Pang Junxu|3|1|2|0|7|4|3|94|5
G15|2|Luo Zetao|3|1|2|0|7|5|2|101|5
G15|3|David Lilley|3|0|2|1|5|7|-2|103|2
G15|4|Fergal Quinn|3|0|2|1|4|7|-3|91|2
G16|1|Lei Peifan|3|2|1|0|8|3|5|101|7
G16|2|Ishpreet Singh Chadha|3|2|0|1|7|3|4|118|6
G16|3|Wang Xinbo|3|0|2|1|4|7|-3|134|2
G16|4|Chatchapong Nasa|3|0|1|2|2|8|-6|73|1
G17|1|Liu Hongyu|3|2|1|0|8|3|5|121|7
G17|2|Joe O'Connor|3|2|0|1|7|3|4|101|6
G17|3|Oliver Brown|3|1|1|1|5|6|-1|71|4
G17|4|Paul Norris|3|0|0|3|1|9|-8|21|0
G18|1|Hossein Vafaei|3|2|1|0|8|3|5|104|7
G18|2|Fan Zhengyi|3|1|2|0|7|4|3|90|5
G18|3|Florian Nussle|3|1|1|1|5|5|0|67|4
G18|4|Oliver Sykes|3|0|0|3|1|9|-8|32|0
G19|1|Stephen Maguire|3|2|0|1|7|3|4|125|6
G19|2|Robbie Williams|3|1|1|1|5|5|0|69|4
G19|3|Anton Kazakov|3|1|1|1|5|6|-1|38|4
G19|4|Ng On-yee|3|0|2|1|4|7|-3|64|2
G20|1|Scott Donaldson|3|2|1|0|8|4|4|76|7
G20|2|Yuan Sijun|3|1|1|1|6|5|1|57|4
G20|3|Sahil Nayyar|3|0|2|1|5|7|-2|100|2
G20|4|Bai Yulu|3|0|2|1|4|7|-3|61|2
G21|1|David Gilbert|3|2|1|0|8|3|5|107|7
G21|2|Mahmoud El Hareedy|3|1|2|0|7|4|3|79|5
G21|3|Ricky Walden|3|1|1|1|6|5|1|55|4
G21|4|Panchaya Channoi|3|0|0|3|0|9|-9|16|0
G22|1|Jak Jones|3|1|1|1|6|5|1|112|4
G22|2|Oliver Lines|3|1|1|1|6|6|0|68|4
G22|3|Michael Larkov|3|1|1|1|5|6|-1|80|4
G22|4|Alfie Burden|3|0|3|0|6|6|0|107|3
G23|1|Jimmy Robertson|3|1|2|0|7|4|3|60|5
G23|2|Martin O'Donnell|3|1|1|1|5|5|0|59|4
G23|3|Antoni Kowalski|3|1|1|1|5|5|0|109|4
G23|4|Hammad Miah|3|0|2|1|4|7|-3|68|2
G24|1|Xu Si|3|1|2|0|7|5|2|61|5
G24|2|Julien Leclercq|3|1|1|1|6|5|1|74|4
G24|3|Michael Holt|3|1|1|1|5|6|-1|68|4
G24|4|Craig Steadman|3|1|0|2|4|6|-2|41|3
G25|1|Jackson Page|3|1|2|0|7|5|2|120|5
G25|2|Long Zehuang|3|0|3|0|6|6|0|95|3
G25|3|Artemijs Zizins|3|0|3|0|6|6|0|82|3
G25|4|Ashley Hugill|3|0|2|1|5|7|-2|76|2
G26|1|Cheung Ka Wai|3|3|0|0|9|1|8|111|9
G26|2|Matthew Stevens|3|1|1|1|5|5|0|102|4
G26|3|George Pragnell|3|1|1|1|5|6|-1|75|4
G26|4|Ashley Carty|3|0|0|3|2|9|-7|127|0
G27|1|Chang Bingyu|3|3|0|0|9|1|8|145|9
G27|2|Jamie Clarke|3|2|0|1|7|4|3|123|6
G27|3|Ryan Day|3|1|0|2|4|6|-2|74|3
G27|4|Phil O'Kane|3|0|0|3|0|9|-9|38|0
G28|1|He Guoqiang|3|3|0|0|9|1|8|93|9
G28|2|Liu Yang|3|2|0|1|7|5|2|76|6
G28|3|Sean O'Sullivan|3|1|0|2|4|6|-2|61|3
G28|4|Dylan Smith|3|0|0|3|1|9|-8|78|0
G29|1|Noppon Saengkham|3|2|0|1|7|4|3|123|6
G29|2|Liam Davies|3|2|0|1|7|4|3|121|6
G29|3|Ben Woollaston|3|2|0|1|7|4|3|78|6
G29|4|Huang Jiahao|3|0|0|3|0|9|-9|48|0
G30|1|Stan Moody|3|2|1|0|8|3|5|135|7
G30|2|Thanawat Tirapongpaiboon|3|1|2|0|7|4|3|114|5
G30|3|Stuart Carrington|3|0|2|1|4|7|-3|48|2
G30|4|Daniel Wells|3|0|1|2|3|8|-5|51|1
G31|1|Luca Brecel|3|3|0|0|9|1|8|82|9
G31|2|Aaron Hill|3|1|0|2|5|7|-2|107|3
G31|3|Mitchell Mann|3|1|0|2|4|7|-3|78|3
G31|4|Deng Haohui|3|1|0|2|4|7|-3|53|3
G32|1|Zak Surety|3|2|1|0|8|4|4|137|7
G32|2|Matthew Selt|3|2|0|1|7|5|2|103|6
G32|3|Andrew Higginson|3|0|2|1|5|7|-2|53|2
G32|4|Gong Chenzhi|3|0|1|2|4|8|-4|76|1
GA|1|Lei Peifan|3|1|2|0|7|4|3|110|5
GA|2|Liu Hongyu|3|1|1|1|6|5|1|82|4
GA|3|David Grace|3|1|1|1|5|6|-1|101|4
GA|4|Zak Surety|3|0|2|1|4|7|-3|75|2
GB|1|Hossein Vafaei|3|2|1|0|8|3|5|110|7
GB|2|Luca Brecel|3|1|1|1|5|5|0|49|4
GB|3|Ian Burns|3|1|0|2|4|7|-3|66|3
GB|4|Pang Junxu|3|0|2|1|5|7|-2|112|2
GC|1|Dylan Emery|3|1|2|0|7|4|3|96|5
GC|2|Gary Wilson|3|1|1|1|6|6|0|81|4
GC|3|Stan Moody|3|1|1|1|5|6|-1|133|4
GC|4|Stephen Maguire|3|0|2|1|5|7|-2|84|2
GD|1|Noppon Saengkham|3|2|1|0|8|4|4|122|7
GD|2|Scott Donaldson|3|2|0|1|7|5|2|102|6
GD|3|Zhou Yuelong|3|1|0|2|5|7|-2|79|3
GD|4|Iulian Boiko|3|0|1|2|4|8|-4|55|1
GE|1|David Gilbert|3|2|0|1|6|5|1|101|6
GE|2|He Guoqiang|3|1|1|1|6|5|1|110|4
GE|3|Chris Wakelin|3|1|1|1|6|6|0|92|4
